,Text,Start,End,Label
379,Disney,17696,17702,ORG
380,Hollywood Studios,17705,17722,ORG
381,Orlando,17758,17765,GPE
382,Florida,17767,17774,GPE
383,third,17778,17783,ORDINAL
384,Walt Disney Studios Park,17837,17861,ORG
385,Disneyland,17869,17879,FAC
386,Paris Resort,17880,17892,FAC
387,Marne,17896,17901,GPE
388,France,17913,17919,GPE
389,Millennium,18030,18040,DATE
390,"the StarWars.com Databank
Star Wars's",18051,18088,ORG
391,Millennium Falcon,18143,18160,ORG
392,Asteroids,18165,18174,ORG
393,Tour The Millennium Falcon,18176,18202,WORK_OF_ART
394,"Donald Glover
",18208,18222,PERSON
395,ILMVFX,18222,18228,ORG
396,YouTube - Creating Lando's,18242,18268,ORG
397,Millennium Falcon,18269,18286,WORK_OF_ART
398,Solo:,18291,18296,WORK_OF_ART
399,Millennium Falcon,18351,18368,DATE
400,Wookieepedia,18372,18384,GPE
401,Notes,18421,18426,PRODUCT
402,the Millennium Falcon,18471,18492,ORG
